id,carrier,iata,name,config,created_at,updated_at
49,NZ,763,Boeing 767-300 (763),{"f"=>0, "j"=>24, "p"=>0, "y"=>206, "total"=>230},2015-04-13 05:44:16 UTC,2015-04-13 05:44:16 UTC
50,NZ,772,Boeing 777-200ER (772) V1,{"f"=>0, "j"=>26, "p"=>36, "y"=>242, "total"=>304},2015-04-13 05:44:17 UTC,2015-04-13 05:44:17 UTC
51,NZ,772,Boeing 777-200ER (772) V2,{"f"=>0, "j"=>26, "p"=>40, "y"=>246, "total"=>312},2015-04-13 05:44:18 UTC,2015-04-13 05:44:18 UTC
52,NZ,773,Boeing 777-300 (773),{"f"=>0, "j"=>44, "p"=>44, "y"=>244, "total"=>332},2015-04-13 05:44:18 UTC,2015-04-13 05:44:18 UTC
53,NZ,789,Boeing 787-9 (789),{"f"=>0, "j"=>18, "p"=>21, "y"=>263, "total"=>302},2015-04-13 05:44:19 UTC,2015-04-13 05:44:19 UTC
60,AB,332,Airbus A330-200 (332),{"f"=>0, "j"=>0, "p"=>0, "y"=>332, "total"=>340},2015-04-13 05:48:50 UTC,2015-04-13 05:48:50 UTC
61,AB,332,Airbus A330-200 (332),{"f"=>0, "j"=>0, "p"=>0, "y"=>332, "total"=>340},2015-04-13 05:48:50 UTC,2015-04-13 05:48:50 UTC
156,CZ,752,Boeing 757-200 (752) V3,{"f"=>0, "j"=>10, "p"=>24, "y"=>162, "total"=>196},2015-04-13 05:49:51 UTC,2015-04-13 05:49:51 UTC
157,CZ,752,Boeing 757-200 (752) V4,{"f"=>0, "j"=>8, "p"=>27, "y"=>166, "total"=>201},2015-04-13 05:49:52 UTC,2015-04-13 05:49:52 UTC
158,CZ,772,Boeing 777-200 (772) V1,{"f"=>24, "j"=>53, "p"=>0, "y"=>207, "total"=>284},2015-04-13 05:49:52 UTC,2015-04-13 05:49:52 UTC
159,CZ,772,Boeing 777-200 (772) V2,{"f"=>0, "j"=>18, "p"=>40, "y"=>316, "total"=>374},2015-04-13 05:49:53 UTC,2015-04-13 05:49:53 UTC
160,CZ,77W,Boeing 777-300ER (77W),{"f"=>4, "j"=>34, "p"=>44, "y"=>227, "total"=>309},2015-04-13 05:49:54 UTC,2015-04-13 05:49:54 UTC
161,CZ,788,Boeing 787-8 (788),{"f"=>4, "j"=>24, "p"=>0, "y"=>200, "total"=>228},2015-04-13 05:49:54 UTC,2015-04-13 05:49:54 UTC
